,Nimero,                Descripcin, Cidigo,Existencia,unidad, Ultima modificaciin
160,01 33 032 9900, PVC Metalizado 32 micrones Varias Medidas,  PVCMV,0.0,kg,    ANA      17/10/02 10:16
161,01 36 012 0520, PET 12 micrones 520 mm,  PET12520,701.8,kg,    CLEON    08/11/16 11:03
162,01 36 012 0640, Pet 12 micrones 640mm,  PET12640,804.8,kg,    BEATRIZ  28/08/12 15:40
163,01 36 012 0760, Pet 12 micrones 760mm,  PET12760,176.4,kg,    SMARCA   23/09/14 15:33
164,01 36 012 0800, PET 12 micrones 800 mm.,  PET12800,0.0,kg,    BEATRIZ  30/05/05  9:05
165,01 36 012 0830, Pet 12 micrones 830 mm,  PET12830,620.6,kg,    BEATRIZ  07/07/14 13:35
166,01 36 012 9900, Pet 12 Micrones Varias Medidas,  PET12V,366.7,kg,    BEATRIZ  28/01/09 11:37
167,01 37 012 0760, PET MATE 12 micrones 760 mm,  PETMATE12760,2983.9,kg,    BEATRIZ  07/07/14 14:27
168,01 38 012 0520, PET MET 12 micrones 520 mm,  PETM12520,207.3,kg,    CLEON    08/11/16 11:05
169,01 38 012 0521, PET MET 12 micrones 520 mm reducido,  SPETM12520,438.4,kg,    BEATRIZ  20/03/18 12:34
170,01 38 012 0660, PET MET 12 micrones 660 mmm,  PETM12660,1794.9,kg,    BEATRIZ  24/08/12 17:52
171,01 38 012 0800, PET MET 12 micrones 760 mm.,  PETM12760,1864.2,kg,    PACO     16/08/05 16:08
172,01 38 012 9900, PET MET 12 Micrones Varias Medias,  PETM12V,299.5,kg,    BEATRIZ  28/01/09 11:38
173,01 39 018 0580, Pet Twist 18 micrones 580 mm,  PETTWIST18580,855.1,kg,    CLEON    29/09/14 17:10
174,01 39 018 9900, PET TWIST 18 micrones Varias Medidas,  PETTIWISTVAR,430.0,kg,    BEATRIZ  31/03/17 12:24
175,01 40 023 0720, 90 BIHD 720 mm.,  90BIHD720,0.0,kg,    ANA      17/10/02 10:16
176,01 40 023 9900, 90 BIHD Varias Medidas,  90BIHDV,0.0,kg,    ANA      17/10/02 10:16
