,Nimero,                Descripcin, Cidigo,Existencia,unidad, Ultima modificaciin
0,01 01 001 0001, Polietileno de baja densidad,  LDPE-1,0.0,kg,    ANA      17/10/02 10:09
1,01 01 001 0002, Polietileno de baja termocontraible,  LDPE-2,812.2,kg,    ANA      17/10/02 10:09
2,01 01 001 0003, Polietileno Extruido,  LDPE-3,0.0,kg,    BEATRIZ  02/03/06 12:22
3,01 01 001 0004, Polietileno de Baja densidad Lineal,  LDPE-LINEAL,63.3,kg,    BEATRIZ  27/01/09 10:09
4,01 01 001 0005, LDPE Pemex PX20020 P,  LDPEPEMEX,96.7,kg,    BEATRIZ  17/05/12 17:35
5,01 01 001 0006, Polietileno Tricapa 90-670mm,  LDPE-TRICAPA,0.0,kg,    BEATRIZ  26/10/09 15:26
6,01 01 001 0008, LDPE Polisur 230M,  LDPEPOLISUR,0.0,kg,    BEATRIZ  23/04/12 16:28
7,01 01 001 0009, Polietileno Varios Extruido,  LDPE-VAR,2083.3,kg,    APRIETO  04/02/11 15:37
8,01 01 001 0010, LDPE Lotrene,  LDPELOTRENE,25.0,kg,    BEATRIZ  30/03/12 16:55
9,01 01 001 0011, LDPE INNOPLUS LD 2426 H,  LDPEINNOPLUS,0.0,kg,    BEATRIZ  30/03/12 16:55
10,01 01 001 0012, Polietileno Fuera de Grado,  LDPEF-GRADO,0.0,kg,    BEATRIZ  30/05/12 16:38
11,01 01 001 0013, LDPE BRASKEM EB853,  LDPE-BRASKEM,17191.4,kg,    BEATRIZ  26/06/12 15:59
12,01 01 001 0014, LDPE DOW 586A,  LDPE DOWN586A,0.0,kg,    BEATRIZ  30/09/13 13:53
13,01 01 001 0015, Polietileno Extruido Blanco,  LDPE-4,0.0,kg,    BEATRIZ  25/07/14 13:33
14,01 01 001 0016, Polietileno Lineal Proxess 1806 S3,  PELINPROXESS,699.2,kg,    CLEON    19/12/16 15:10
15,01 01 001 0017, Polietileno Dow611A,  LDPE-DOW611A,0.0,kg,    BEATRIZ  21/03/18 10:57
16,01 01 011 0001, Polietileno de alta densidad,  HDPE-1,969.7,kg,    ANA      17/10/02 10:09
17,01 01 021 0001, Polietileno de alta densidad lineal,  LLDPE-1,0.0,kg,    ANA      17/10/02 10:09
18,01 01 031 0001, Polietileno Metaloceno,  PEMET-1,443.6,kg,    ANA      17/10/02 10:09
19,01 01 051 0001, Polietileno recuperado,  LDPESAL,0.0,kg,    ANA      24/03/03 15:09
20,01 01 901 0004, Aditivo UV,  ADITUV,16.8,kg,    PACO     06/04/06 14:08
21,01 01 901 0005, Aditivo de Purga,  ADITPURGA,0.0,kg,    BEATRIZ  27/10/09 12:04
22,01 01 901 0006, Antioxidante,  ANTIOXIDANTE,0.0,kg,    BEATRIZ  27/10/09 12:10
23,01 01 901 0007, Aditivo Biodegradable,  ADITBIODEG,0.0,kg,    BEATRIZ  17/01/13 15:09
24,01 03 001 0001, Poliestireno,  PESTIR-1,0.0,kg,    PACO     01/07/03 17:17
25,01 15 030 0360, PP 30 micras 360mm,  PP30360,0.0,kg,    PACO     07/07/05 15:10
26,01 15 030 0530, PP 30 micras 530mm,  PP30530,0.0,kg,    PACO     15/12/05 11:55
27,01 16 020 0520, BOPP MATE 20 micrones 520 mm,  BOPPMATE20520,948.8,kg,    BEATRIZ  08/06/16 18:43
28,01 16 020 0620, BOPP MATE 20 micrones 620 mm,  BOPPMATE20620,1151.5,kg,    BEATRIZ  25/07/14 13:13
29,01 16 020 0660, BOPP MATE 20 micrones 660 mm,  BOPPMATE20660,965.5,kg,    BEATRIZ  12/01/15 10:37
30,01 20 015 0620, Bopp 15 Micrones 620 mm,  BOPP15620,450.2,kg,    CLEON    25/05/17  9:38
31,01 20 015 0660, BOPP 15 Micrones 660 mm Sigmaplast,  SBOPP15660,1030.3,kg,    BEATRIZ  10/04/17 15:48
32,01 20 015 0661, Bopp 15 Micrones 660 mm,  BOPP15660,794.0,kg,    CLEON    25/05/17  9:55
33,01 20 015 0980, Bopp 15 Micrones 980 mm,  BOPP15980,53.6,kg,    CLEON    25/05/17  9:40
34,01 20 017 0620, Bopp 17 Micrones 620 mm,  BOPP17620,547.8,kg,    BEATRIZ  28/04/14 17:39
35,01 20 017 0660, BOPP MATE 17 micrones 660 mm,  BOPPMATE17660,0.0,kg,    APRIETO  12/10/10 17:36
36,01 20 017 0661, Bopp Mate 17 micrones 660 mm reducido,  SBOPPMATE17660,0.0,kg,    BEATRIZ  20/03/18 12:28
37,01 20 017 0720, BOPP MATE 17 micrones 720 mm,  BOPPMATE17720,0.0,kg,    APRIETO  12/10/10 17:38
38,01 20 017 0760, BOPP MATE 17 micrones 760 mm,  BOPPMATE17760,208.6,kg,    BEATRIZ  25/10/11 15:36
39,01 20 017 0761, Bopp Mate 17 micrones 760 mm reducido,  SBOPPMATE17760,430.9,kg,    BEATRIZ  26/03/18 14:44
40,01 20 017 9999, BOPP MATE Varias Medidas,  BOPPMATEVAR,207.7,kg,    BEATRIZ  26/12/12 14:23
41,01 20 018 0720, BOPP 18 micrones 720 mm,  BOPP18720,0.0,kg,    ANA      17/10/02 10:12
42,01 20 018 9900, BOPP 18 micrones Varias Medidas,  BOPP18V,0.0,kg,    ANA      17/10/02 10:12
43,01 20 020 0000, BOPP 20 micrones 1000 mm.,  BOPP201000,0.0,kg,    BEATRIZ  02/03/06 11:56
44,01 20 020 0005, CAST BOPP 20 micrones 520 mm,  CASTBOPP20520,953.2,kg,    BEATRIZ  16/05/16 16:29
45,01 20 020 0460, Bopp 20 micrones 460 mm,  BOPP20460,1121.1,kg,    BEATRIZ  11/06/14 11:21
46,01 20 020 0461, BOPP 20 micrones 460 mm Sigmaplast,  SBOPP20460,1120.8,kg,    CLEON    23/06/17 10:21
47,01 20 020 0515, BOPP 20 micrones 515 mm,  BOPP20515,832.8,kg,    BEATRIZ  30/03/12 16:55
48,01 20 020 0516, BOPP 20 micrones 515 mm Sigmaplast,  SBOPP20515,1834.7,kg,    BEATRIZ  17/04/17 11:07
49,01 20 020 0520, BOPP 20 micrones 520 mm,  BOPP20520,0.0,kg,    BEATRIZ  15/07/08 12:17
50,01 20 020 0525, BOPP 20 micrones 525 mm,  BOPP20525,4015.6,kg,    APRIETO  12/10/10 17:30
51,01 20 020 0526, BOPP 20 micrones 525 mm Sigmaplast,  SBOPP20525,590.2,kg,    CLEON    23/06/17 10:20
52,01 20 020 0570, BOPP 20 micrones 570 mm,  BOPP20570,0.0,kg,    BEATRIZ  14/09/06 14:15
53,01 20 020 0571, BOPP 20 micrones 570 mm Sigmaplast,  SBOPP20570,0.0,kg,    BEATRIZ  17/04/17 11:08
54,01 20 020 0600, BOPP 20 micrones 600 mm.,  BOPP20600,0.0,kg,    BEATRIZ  13/02/06 11:05
55,01 20 020 0620, BOPP 20 micrones 620 mm,  BOPP20620,2460.8,kg,    BEATRIZ  08/12/05 10:27
56,01 20 020 0621, BOPP 20 micrones 620 mm Sigmaplast,  SBOPP20620,20.2,kg,    CLEON    23/06/17 10:19
57,01 20 020 0660, BOPP 20 micrones 660 mm.,  BOPP20660,0.0,kg,    ANA      17/10/02 10:12
58,01 20 020 0661, BOPP 20 micrones 660 mm Sigmaplast,  SBOPP20660,0.0,kg,    BEATRIZ  17/04/17 11:10
59,01 20 020 0680, BOPP 20 micrones 680 mm,  BOPP20680,0.0,kg,    BEATRIZ  10/08/06 16:47
60,01 20 020 0720, BOPP 20 micrones 720 mm.,  BOPP20720,1468.3,kg,    ANA      17/10/02 10:12
61,01 20 020 0721, BOPP 20 micrones 720 mm Sigmaplast,  SBOPP20720,0.0,kg,    BEATRIZ  17/04/17 11:05
62,01 20 020 0760, BOPP 20 micrones 760 mm.,  BOPP20760,111.2,kg,    ANA      17/10/02 10:12
63,01 20 020 0761, BOPP LH 20 micrones 760 mm,  BOPPLH20760,3138.0,kg,    BEATRIZ  25/10/11 15:47
64,01 20 020 0762, BOPP LH 20 micrones 620 mm,  BOPPLH20620,1837.0,kg,    BEATRIZ  18/10/13 13:05
65,01 20 020 0763, BOPP 20 micrones 760 mm Sigmaplast,  SBOPP20760,1388.7,kg,    BEATRIZ  17/04/17 11:09
66,01 20 020 0840, BOPP 20 micrones 840 mm,  BOPP20840,1366.6,kg,    JIGNACIO 30/12/16 12:25
67,01 20 020 0880, BOPP 20 micrones 880 mm.,  BOPP20880,1675.6,kg,    ANA      17/10/02 10:12
68,01 20 020 0881, BOPP 20 micrones 880 mm Sigmaplast,  SBOPP20880,533.0,kg,    BEATRIZ  17/04/17 11:12
69,01 20 020 0980, BOPP 20 micrones 980 mm,  BOPP20980,0.0,kg,    BEATRIZ  30/03/12 17:06
70,01 20 020 1030, BOPP 20 micrones 1030 mm.,  BOPP201030,260.8,kg,    ANA      17/10/02 10:12
71,01 20 020 9900, BOPP 20 micrones Varias Medidas,  BOPP20V,1916.05,kg,    ANA      17/10/02 10:12
72,01 20 025 0002, CAST Bopp 25 micrones 720 mm,  CASTBOPP25720,669.7,kg,    BEATRIZ  11/09/07 19:55
73,01 20 025 0003, Cast Bopp 25 micras 620 mm,  CASTBOPP25620,1085.2,kg,    BEATRIZ  10/04/13 10:10
74,01 20 030 0002, Cast Bopp 30 Micrones 520 mm,  CASTBOPP30520,451.0,kg,    BEATRIZ  28/05/15 12:00
75,01 20 030 0003, CAST Bopp 30 micrones 660 mm,  CASTBOPP30660,2188.2,kg,    BEATRIZ  30/10/12 13:34
76,01 20 030 0004, CAST Bopp 30 micrones 760 mm,  CASTBOPP30760,0.0,kg,    BEATRIZ  30/10/12 13:34
77,01 20 030 0005, Cast Bopp 30 Micrones 520 mm reducido,  SCASTBOPP30520,941.4,kg,    BEATRIZ  20/03/18 12:40
78,01 20 030 0006, Cast Bopp 30 micrones 760 mm reducido,  SCASTBOPP30760,997.6,kg,    BEATRIZ  21/03/18 10:49
79,01 20 030 0524, BOPP 30 micrones 524 mm.,  BOPP30524,234.6,kg,    SMARCA   18/05/11 10:44
80,01 20 030 0525, BOPP 30 micrones 524 mm Sigmaplast,  SBOPP30524,0.0,kg,    BEATRIZ  17/04/17 11:44
81,01 20 030 0620, BOPP 30 micrones 620 mm,  BOPP30620,126.8,kg,    BEATRIZ  16/05/16 16:24
82,01 20 030 0621, BOPP 30 micrones 620  mm Sigmaplast,  SBOPP30620,0.0,kg,    CLEON    02/05/17 11:26
83,01 20 030 0660, BOPP 30 micrones 660 mm.,  BOPP30660,2023.6,kg,    BEATRIZ  16/05/05  9:32
84,01 20 030 0661, BOPP 30 micrones 660 mm Sigmaplast,  SBOPP30660,7.6,kg,    CLEON    23/06/17 10:22
85,01 20 030 0675, BOPP 30 micrones 675 mm.,  BOPP30675,0.0,kg,    ANA      17/10/02 10:12
86,01 20 030 0720, BOPP 30 micrones 720 mm.,  BOPP30720,0.0,kg,    ANA      17/10/02 10:12
87,01 20 030 0721, BOPP 30 micrones 720 mm Sigmaplast,  SBOPP30720,0.0,kg,    CLEON    23/06/17 10:22
88,01 20 030 0760, BOPP 30 micrones 760 mm.,  BOPP30760,304.1,kg,    APRIETO  01/10/10 15:01
89,01 20 030 0761, BOPP 30 micrones 760 mm Sigmaplast,  SBOPP30760,0.0,kg,    CLEON    23/06/17 15:05
90,01 20 030 0780, BOPP 30 micrones 780 mm,  BOPP30780,0.0,kg,    BEATRIZ  20/07/10  9:49
91,01 20 030 0800, Bopp 30 micrones 800 mm,  BOPP30800,2067.6,kg,    BEATRIZ  11/06/14 11:11
92,01 20 030 0801, BOPP 30 micrones 800 mm Sigmaplast,  SBOPP30800,0.0,kg,    CLEON    23/06/17 10:24
93,01 20 030 0840, BOPP 30 micrones 840 mm,  BOPP30840,0.0,kg,    BEATRIZ  23/05/12 16:36
94,01 20 030 0980, BOPP 30 micrones 980 mm,  BOPP30980,0.0,kg,    BEATRIZ  30/03/12 16:57
95,01 20 030 1000, BOPP 30 micrones 1000 mm.,  BOPP301000,0.0,kg,    ANA      17/10/02 10:12
96,01 20 030 9900, BOPP 30 micrones Varias Medidas,  BOPP30V,251.45,kg,    ANA      17/10/02 10:12
97,01 20 035 0460, BOPP 35 micrones 460 mm,  BOPP35460,585.9,kg,    BEATRIZ  30/03/12 17:02
98,01 20 035 0461, BOPP 35 micrones 460 mm Sigmaplast,  SBOPP35460,0.0,kg,    BEATRIZ  17/04/17 11:49
99,01 20 035 0620, BOPP 35 micrones 620 mm,  BOPP35620,2895.6,kg,    APRIETO  21/01/10 16:33
100,01 20 035 0621, BOPP 35 micrones 620 mm Sigmaplast,  SBOPP35620,0.0,kg,    BEATRIZ  17/04/17 12:00
101,01 20 035 0760, BOPP 35 micrones 760 mm.,  BOPP35760,939.5,kg,    BEATRIZ  14/08/07 17:34
102,01 20 035 0761, BOPP 35 micrones 760 mm Sigmaplast,  SBOPP35760,0.0,kg,    BEATRIZ  17/04/17 12:08
103,01 20 035 0840, BOPP 35 micrones 840 mm,  BOPP35840,1239.4,kg,    CLEON    29/09/14 17:15
104,01 20 035 0841, Bopp 35 Micrones 840 mm reducido,  SBOPP35840,0.0,kg,    BEATRIZ  20/03/18 12:29
105,01 20 035 0920, BOPP 35 micrones 920 mm,  BOPP35920,0.0,kg,    BEATRIZ  11/05/06 11:27
106,01 20 035 1000, BOPP 35 micrones 1000 mm.,  BOPP351000,0.0,kg,    ANA      17/10/02 10:12
